Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,30.03.2019,lørdag,15.3,Odd,3 - 2,Brann,Skagerak Arena
1,30.03.2019,lørdag,18,Vålerenga,2 - 0,Mjøndalen,Intility Arena
1,31.03.2019,søndag,18,Ranheim TF,1 - 2,Tromsø,EXTRA Arena
1,31.03.2019,søndag,18,Sarpsborg 08,1 - 1,Molde,Sarpsborg st KG
1,31.03.2019,søndag,18,Strømsgodset,3 - 2,Haugesund,Marienlyst stadion
1,31.03.2019,søndag,18,Viking,2 - 0,Kristiansund,Lyse Arena
1,31.03.2019,søndag,20,Bodø/Glimt,2 - 0,Rosenborg,Aspmyra stadion
1,01.04.2019,mandag,19,Stabæk,1 - 1,Lillestrøm,Nadderud stadion
2,06.04.2019,lørdag,18,Mjøndalen,4 - 5,Bodø/Glimt,Consto Arena
2,07.04.2019,søndag,18,Molde,3 - 0,Stabæk,Aker stadion
2,07.04.2019,søndag,18,Haugesund,1 - 1,Sarpsborg 08,Haugesund Sparebank Arena
2,07.04.2019,søndag,18,Kristiansund,2 - 0,Vålerenga,Nordmøre stadion
2,07.04.2019,søndag,18,Tromsø,0 - 2,Viking,Romssa Arena
2,07.04.2019,søndag,18,Lillestrøm,2 - 1,Ranheim TF,Åråsen stadion
2,07.04.2019,søndag,20,Brann,1 - 1,Strømsgodset,Brann stadion
2,08.04.2019,mandag,19,Rosenborg,1 - 1,Odd,Lerkendal stadion
3,12.04.2019,fredag,19,Strømsgodset,2 - 3,Mjøndalen,Marienlyst stadion
3,13.04.2019,lørdag,20,Viking,2 - 1,Brann,Lyse Arena
3,14.04.2019,søndag,18,Ranheim TF,0 - 2,Haugesund,EXTRA Arena
3,14.04.2019,søndag,18,Odd,2 - 0,Kristiansund,Skagerak Arena
3,14.04.2019,søndag,18,Bodø/Glimt,3 - 2,Molde,Aspmyra stadion
3,14.04.2019,søndag,18,Stabæk,3 - 1,Rosenborg,Nadderud stadion
3,14.04.2019,søndag,18,Sarpsborg 08,1 - 0,Lillestrøm,Sarpsborg st KG
3,14.04.2019,søndag,20,Vålerenga,4 - 1,Tromsø,Intility Arena
4,22.04.2019,mandag,18,Rosenborg,0 - 0,Strømsgodset,Lerkendal stadion
4,22.04.2019,mandag,18,Haugesund,3 - 0,Stabæk,Haugesund Sparebank Arena
4,22.04.2019,mandag,18,Kristiansund,0 - 0,Ranheim TF,Nordmøre stadion
4,22.04.2019,mandag,18,Bodø/Glimt,1 - 1,Sarpsborg 08,Aspmyra stadion
4,22.04.2019,mandag,18,Lillestrøm,0 - 2,Molde,Åråsen stadion
4,22.04.2019,mandag,18,Mjøndalen,1 - 1,Tromsø,Consto Arena
4,22.04.2019,mandag,20,Brann,1 - 1,Vålerenga,Brann stadion
4,23.04.2019,tirsdag,19,Odd,1 - 0,Viking,Skagerak Arena
5,27.04.2019,lørdag,18,Sarpsborg 08,1 - 1,Mjøndalen,Sarpsborg st KG
5,28.04.2019,søndag,18,Ranheim TF,5 - 2,Viking,EXTRA Arena
5,28.04.2019,søndag,18,Tromsø,1 - 2,Brann,Romssa Arena
5,28.04.2019,søndag,18,Lillestrøm,1 - 0,Haugesund,Åråsen stadion
5,28.04.2019,søndag,18,Strømsgodset,2 - 3,Kristiansund,Marienlyst stadion
5,28.04.2019,søndag,18,Stabæk,2 - 0,Bodø/Glimt,Nadderud stadion
5,28.04.2019,søndag,20,Molde,3 - 0,Rosenborg,Aker stadion
5,29.04.2019,mandag,19,Vålerenga,1 - 0,Odd,Intility Arena
6,04.05.2019,lørdag,18,Mjøndalen,1 - 0,Stabæk,Consto Arena
6,05.05.2019,søndag,18,Brann,0 - 1,Ranheim TF,Brann stadion
6,05.05.2019,søndag,18,Haugesund,1 - 2,Molde,Haugesund Sparebank Arena
6,05.05.2019,søndag,18,Kristiansund,1 - 0,Tromsø,Nordmøre stadion
6,05.05.2019,søndag,18,Odd,2 - 1,Strømsgodset,Skagerak Arena
