Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,10.04.2023,mandag,14.3,Rosenborg,1 - 0,Viking,Lerkendal stadion
1,10.04.2023,mandag,17,Aalesund,0 - 1,Vålerenga,Color Line Stadion
1,10.04.2023,mandag,17,HamKam,2 - 0,Sandefjord Fotball,Briskeby
1,10.04.2023,mandag,17,Sarpsborg 08,0 - 2,Bodø/Glimt,Sarpsborg st KG
1,10.04.2023,mandag,17,Stabæk,0 - 0,Odd,Nadderud stadion
1,10.04.2023,mandag,17,Tromsø,1 - 0,Molde,Romssa Arena
1,10.04.2023,mandag,19.15,Brann,3 - 0,Haugesund,Brann stadion
1,19.04.2023,onsdag,18.3,Lillestrøm,4 - 3,Strømsgodset,Åråsen stadion
2,15.04.2023,lørdag,18,Viking,2 - 0,Lillestrøm,Lyse Arena
2,16.04.2023,søndag,17,Bodø/Glimt,4 - 0,Stabæk,Aspmyra stadion
2,16.04.2023,søndag,17,Haugesund,3 - 2,HamKam,Haugesund Sparebank Arena
2,16.04.2023,søndag,17,Molde,1 - 1,Rosenborg,Aker stadion
2,16.04.2023,søndag,17,Odd,2 - 0,Brann,Skagerak Arena
2,16.04.2023,søndag,17,Sandefjord Fotball,0 - 0,Tromsø,Jotun Arena
2,16.04.2023,søndag,17,Strømsgodset,1 - 0,Aalesund,Marienlyst stadion
2,16.04.2023,søndag,19.15,Vålerenga,0 - 2,Sarpsborg 08,Intility Arena
3,22.04.2023,lørdag,18,Brann,3 - 1,Vålerenga,Brann stadion
3,23.04.2023,søndag,17,Aalesund,0 - 3,Bodø/Glimt,Color Line Stadion
3,23.04.2023,søndag,17,HamKam,2 - 0,Strømsgodset,Briskeby
3,23.04.2023,søndag,17,Rosenborg,1 - 1,Sandefjord Fotball,Lerkendal stadion
3,23.04.2023,søndag,17,Sarpsborg 08,0 - 0,Odd,Sarpsborg st KG
3,23.04.2023,søndag,17,Stabæk,3 - 0,Haugesund,Nadderud stadion
3,23.04.2023,søndag,17,Tromsø,1 - 1,Viking,Romssa Arena
3,23.04.2023,søndag,19.15,Lillestrøm,2 - 1,Molde,Åråsen stadion
4,29.04.2023,lørdag,18,Bodø/Glimt,2 - 2,Brann,Aspmyra stadion
4,30.04.2023,søndag,17,Haugesund,0 - 0,Sarpsborg 08,Haugesund Sparebank Arena
4,30.04.2023,søndag,17,Molde,2 - 3,Stabæk,Aker stadion
4,30.04.2023,søndag,17,Sandefjord Fotball,4 - 0,Aalesund,Jotun Arena
4,30.04.2023,søndag,17,Strømsgodset,0 - 1,Tromsø,Marienlyst stadion
4,30.04.2023,søndag,17,Viking,7 - 3,HamKam,Lyse Arena
4,30.04.2023,søndag,19.15,Odd,0 - 0,Rosenborg,Skagerak Arena
4,01.05.2023,mandag,18,Vålerenga,3 - 4,Lillestrøm,Intility Arena
5,06.05.2023,lørdag,18,Rosenborg,1 - 3,Vålerenga,Lerkendal stadion
5,07.05.2023,søndag,17,Aalesund,0 - 0,Haugesund,Color Line Stadion
5,07.05.2023,søndag,17,HamKam,0 - 4,Molde,Briskeby
5,07.05.2023,søndag,17,Stabæk,1 - 1,Sarpsborg 08,Nadderud stadion
5,07.05.2023,søndag,17,Tromsø,0 - 1,Odd,Romssa Arena
5,07.05.2023,søndag,17,Viking,1 - 1,Strømsgodset,Lyse Arena
5,07.05.2023,søndag,19.15,Lillestrøm,1 - 2,Bodø/Glimt,Åråsen stadion
5,08.05.2023,mandag,19,Brann,0 - 0,Sandefjord Fotball,Brann stadion
6,12.05.2023,fredag,19,Odd,0 - 1,Lillestrøm,Skagerak Arena
6,13.05.2023,lørdag,17,Bodø/Glimt,3 - 2,Rosenborg,Aspmyra stadion
6,13.05.2023,lørdag,17,HamKam,1 - 2,Tromsø,Briskeby
6,13.05.2023,lørdag,17,Molde,3 - 2,Strømsgodset,Aker stadion
6,13.05.2023,lørdag,17,Sandefjord Fotball,1 - 2,Viking,Jotun Arena
6,13.05.2023,lørdag,17,Sarpsborg 08,2 - 1,Brann,Sarpsborg st KG
6,13.05.2023,lørdag,17,Stabæk,1 - 0,Aalesund,Nadderud stadion
6,13.05.2023,lørdag,19.15,Haugesund,1 - 1,Vålerenga,Haugesund Sparebank Arena
7,16.05.2023,tirsdag,18,Aalesund,3 - 1,Molde,Color Line Stadion
7,16.05.2023,tirsdag,18,Brann,4 - 1,Stabæk,Brann stadion
7,16.05.2023,tirsdag,18,Lillestrøm,1 - 2,Sarpsborg 08,Åråsen stadion
7,16.05.2023,tirsdag,18,Rosenborg,1 - 0,Haugesund,Lerkendal stadion
7,16.05.2023,tirsdag,18,Strømsgodset,1 - 0,Sandefjord Fotball,Marienlyst stadion
7,16.05.2023,tirsdag,18,Tromsø,2 - 3,Bodø/Glimt,Romssa Arena
7,16.05.2023,tirsdag,18,Viking,3 - 2,Odd,Lyse Arena
7,16.05.2023,tirsdag,18,Vålerenga,3 - 0,HamKam,Intility Arena
8,29.05.2023,mandag,17,Bodø/Glimt,5 - 1,Viking,Aspmyra stadion
8,29.05.2023,mandag,17,Brann,3 - 1,Rosenborg,Brann stadion
8,29.05.2023,mandag,17,Haugesund,1 - 2,Tromsø,Haugesund Sparebank Arena
8,29.05.2023,mandag,17,Molde,5 - 0,Sandefjord Fotball,Aker stadion
8,29.05.2023,mandag,17,Odd,1 - 1,Strømsgodset,Skagerak Arena
8,29.05.2023,mandag,17,Sarpsborg 08,3 - 1,Aalesund,Sarpsborg st KG
8,29.05.2023,mandag,17,Stabæk,2 - 1,Vålerenga,Nadderud stadion
8,29.05.2023,mandag,19.15,HamKam,0 - 0,Lillestrøm,Briskeby
9,04.06.2023,søndag,17,Aalesund,1 - 3,Brann,Color Line Stadion
9,04.06.2023,søndag,17,Lillestrøm,3 - 1,Stabæk,Åråsen stadion
9,04.06.2023,søndag,17,Rosenborg,4 - 0,HamKam,Lerkendal stadion
9,04.06.2023,søndag,17,Sandefjord Fotball,4 - 1,Odd,Jotun Arena
9,04.06.2023,søndag,17,Strømsgodset,1 - 2,Haugesund,Marienlyst stadion
9,04.06.2023,søndag,17,Tromsø,2 - 1,Sarpsborg 08,Romssa Arena
9,04.06.2023,søndag,17,Vålerenga,1 - 3,Bodø/Glimt,Intility Arena
9,04.06.2023,søndag,19.15,Viking,3 - 4,Molde,Lyse Arena
10,11.06.2023,søndag,17,Aalesund,2 - 3,Tromsø,Color Line Stadion
10,11.06.2023,søndag,17,Bodø/Glimt,3 - 0,HamKam,Aspmyra stadion
10,11.06.2023,søndag,17,Haugesund,3 - 2,Sandefjord Fotball,Haugesund Sparebank Arena
10,11.06.2023,søndag,17,Odd,1 - 0,Molde,Skagerak Arena
10,11.06.2023,søndag,17,Sarpsborg 08,1 - 3,Viking,Sarpsborg st KG
10,11.06.2023,søndag,17,Stabæk,2 - 2,Rosenborg,Nadderud stadion
10,11.06.2023,søndag,17,Vålerenga,0 - 1,Strømsgodset,Intility Arena
10,11.06.2023,søndag,19.15,Brann,2 - 2,Lillestrøm,Brann stadion
11,24.06.2023,lørdag,18,Viking,3 - 1,Brann,Lyse Arena
11,25.06.2023,søndag,17,HamKam,0 - 1,Odd,Briskeby
11,25.06.2023,søndag,17,Molde,1 - 0,Haugesund,Aker stadion
11,25.06.2023,søndag,17,Rosenborg,0 - 3,Sarpsborg 08,Lerkendal stadion
11,25.06.2023,søndag,17,Tromsø,2 - 1,Stabæk,Romssa Arena
11,25.06.2023,søndag,19.15,Strømsgodset,2 - 0,Bodø/Glimt,Marienlyst stadion
11,19.07.2023,onsdag,18,Lillestrøm,5 - 1,Aalesund,Åråsen stadion
11,01.10.2023,søndag,17,Sandefjord Fotball,1 - 2,Vålerenga,Jotun Arena
12,01.07.2023,lørdag,18,Vålerenga,1 - 2,Viking,Intility Arena
12,02.07.2023,søndag,17,Aalesund,1 - 0,Rosenborg,Color Line Stadion
12,02.07.2023,søndag,17,Brann,2 - 1,HamKam,Brann stadion
12,02.07.2023,søndag,17,Haugesund,2 - 1,Odd,Haugesund Sparebank Arena
12,02.07.2023,søndag,17,Lillestrøm,0 - 1,Tromsø,Åråsen stadion
12,02.07.2023,søndag,17,Sarpsborg 08,6 - 1,Sandefjord Fotball,Sarpsborg st KG
12,02.07.2023,søndag,19.15,Bodø/Glimt,2 - 2,Molde,Aspmyra stadion
12,03.07.2023,mandag,19,Stabæk,0 - 1,Strømsgodset,Nadderud stadion
13,07.07.2023,fredag,19,HamKam,2 - 1,Aalesund,Briskeby
13,08.07.2023,lørdag,18,Viking,2 - 0,Haugesund,Lyse Arena
13,09.07.2023,søndag,17,Odd,0 - 2,Bodø/Glimt,Skagerak Arena
13,09.07.2023,søndag,17,Rosenborg,1 - 2,Lillestrøm,Lerkendal stadion
13,09.07.2023,søndag,17,Sandefjord Fotball,0 - 0,Stabæk,Jotun Arena
13,09.07.2023,søndag,17,Strømsgodset,5 - 2,Sarpsborg 08,Marienlyst stadion
13,09.07.2023,søndag,17,Tromsø,0 - 0,Vålerenga,Romssa Arena
13,09.07.2023,søndag,19.15,Molde,2 - 0,Brann,Aker stadion
14,15.07.2023,lørdag,18,Vålerenga,0 - 4,Molde,Intility Arena
14,16.07.2023,søndag,17,Aalesund,0 - 3,Odd,Color Line Stadion
