Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
17,28.08.2021,lørdag,18,Mjøndalen,1 - 2,Lillestrøm,Consto Arena
17,28.08.2021,lørdag,20,Brann,1 - 3,Haugesund,Brann stadion
17,29.08.2021,søndag,18,Kristiansund,2 - 0,Molde,Nordmøre stadion
17,29.08.2021,søndag,18,Odd,0 - 1,Strømsgodset,Skagerak Arena
17,29.08.2021,søndag,18,Sarpsborg 08,5 - 0,Sandefjord Fotball,Sarpsborg st KG
17,29.08.2021,søndag,18,Tromsø,2 - 3,Bodø/Glimt,Romssa Arena
17,29.08.2021,søndag,18,Viking,2 - 1,Rosenborg,Lyse Arena
17,29.08.2021,søndag,20,Vålerenga,3 - 1,Stabæk,Intility Arena
18,11.09.2021,lørdag,18,Lillestrøm,2 - 3,Brann,Åråsen stadion
18,11.09.2021,lørdag,18,Stabæk,1 - 3,Viking,Nadderud stadion
18,12.09.2021,søndag,18,Bodø/Glimt,1 - 1,Odd,Aspmyra stadion
18,12.09.2021,søndag,18,Haugesund,2 - 1,Sarpsborg 08,Haugesund Sparebank Arena
18,12.09.2021,søndag,18,Molde,4 - 0,Mjøndalen,Aker stadion
18,12.09.2021,søndag,18,Sandefjord Fotball,3 - 0,Vålerenga,Jotun Arena
18,12.09.2021,søndag,18,Strømsgodset,1 - 2,Kristiansund,Marienlyst stadion
18,12.09.2021,søndag,20,Rosenborg,3 - 2,Tromsø,Lerkendal stadion
19,18.09.2021,lørdag,18,Kristiansund,3 - 2,Haugesund,Nordmøre stadion
19,18.09.2021,lørdag,18,Odd,2 - 3,Lillestrøm,Skagerak Arena
19,19.09.2021,søndag,18,Mjøndalen,1 - 1,Sandefjord Fotball,Consto Arena
19,19.09.2021,søndag,18,Sarpsborg 08,1 - 3,Rosenborg,Sarpsborg st KG
19,19.09.2021,søndag,18,Viking,1 - 3,Bodø/Glimt,Lyse Arena
19,19.09.2021,søndag,18,Vålerenga,1 - 1,Molde,Intility Arena
19,19.09.2021,søndag,20,Tromsø,1 - 1,Brann,Romssa Arena
19,29.09.2021,onsdag,19,Stabæk,0 - 0,Strømsgodset,Nadderud stadion
20,25.09.2021,lørdag,18,Lillestrøm,1 - 2,Tromsø,Åråsen stadion
20,25.09.2021,lørdag,18,Strømsgodset,5 - 0,Sarpsborg 08,Marienlyst stadion
20,26.09.2021,søndag,18,Brann,3 - 1,Kristiansund,Brann stadion
20,26.09.2021,søndag,18,Haugesund,1 - 3,Odd,Haugesund Sparebank Arena
20,26.09.2021,søndag,18,Molde,2 - 2,Viking,Aker stadion
20,26.09.2021,søndag,18,Rosenborg,3 - 1,Mjøndalen,Lerkendal stadion
20,26.09.2021,søndag,18,Sandefjord Fotball,0 - 3,Stabæk,Jotun Arena
20,26.09.2021,søndag,20,Bodø/Glimt,1 - 0,Vålerenga,Aspmyra stadion
21,02.10.2021,lørdag,18,Sarpsborg 08,2 - 1,Lillestrøm,Sarpsborg st KG
21,02.10.2021,lørdag,18,Viking,2 - 1,Sandefjord Fotball,Lyse Arena
21,03.10.2021,søndag,18,Mjøndalen,1 - 1,Brann,Consto Arena
21,03.10.2021,søndag,18,Odd,1 - 3,Molde,Skagerak Arena
21,03.10.2021,søndag,18,Stabæk,0 - 3,Bodø/Glimt,Nadderud stadion
21,03.10.2021,søndag,18,Tromsø,2 - 0,Haugesund,Romssa Arena
21,03.10.2021,søndag,18,Vålerenga,3 - 0,Strømsgodset,Intility Arena
21,03.10.2021,søndag,20,Kristiansund,1 - 0,Rosenborg,Nordmøre stadion
22,16.10.2021,lørdag,18,Lillestrøm,0 - 0,Kristiansund,Åråsen stadion
22,16.10.2021,lørdag,18,Molde,3 - 0,Tromsø,Aker stadion
22,17.10.2021,søndag,17,Bodø/Glimt,2 - 1,Sarpsborg 08,Aspmyra stadion
22,17.10.2021,søndag,17,Brann,1 - 1,Stabæk,Brann stadion
22,17.10.2021,søndag,17,Haugesund,7 - 0,Mjøndalen,Haugesund Sparebank Arena
22,17.10.2021,søndag,17,Sandefjord Fotball,0 - 0,Odd,Jotun Arena
22,17.10.2021,søndag,17,Strømsgodset,0 - 1,Viking,Marienlyst stadion
22,17.10.2021,søndag,19,Rosenborg,2 - 2,Vålerenga,Lerkendal stadion
23,23.10.2021,lørdag,16,Viking,5 - 1,Lillestrøm,Lyse Arena
23,23.10.2021,lørdag,18,Stabæk,0 - 3,Molde,Nadderud stadion
23,24.10.2021,søndag,17,Kristiansund,1 - 3,Sarpsborg 08,Nordmøre stadion
23,24.10.2021,søndag,17,Rosenborg,4 - 1,Sandefjord Fotball,Lerkendal stadion
23,24.10.2021,søndag,17,Strømsgodset,1 - 1,Bodø/Glimt,Marienlyst stadion
23,24.10.2021,søndag,17,Tromsø,1 - 0,Mjøndalen,Romssa Arena
23,24.10.2021,søndag,17,Vålerenga,2 - 1,Haugesund,Intility Arena
23,24.10.2021,søndag,19,Odd,3 - 3,Brann,Skagerak Arena
24,27.10.2021,onsdag,18,Haugesund,0 - 0,Rosenborg,Haugesund Sparebank Arena
