Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
4,28.06.2020,søndag,18,Strømsgodset,1 - 1,Aalesund,Marienlyst stadion
4,28.06.2020,søndag,18,Mjøndalen,1 - 2,Kristiansund,Consto Arena
4,28.06.2020,søndag,18,Sandefjord Fotball,0 - 1,Haugesund,Jotun Arena
4,28.06.2020,søndag,20.3,Brann,1 - 2,Rosenborg,Brann stadion
5,01.07.2020,onsdag,18,Aalesund,1 - 3,Mjøndalen,Color Line Stadion
5,01.07.2020,onsdag,18,Odd,0 - 4,Bodø/Glimt,Skagerak Arena
5,01.07.2020,onsdag,18,Viking,2 - 0,Sandefjord Fotball,Lyse Arena
5,01.07.2020,onsdag,18,Stabæk,2 - 0,Strømsgodset,Nadderud stadion
5,01.07.2020,onsdag,18,Haugesund,1 - 0,Start,Haugesund Sparebank Arena
5,01.07.2020,onsdag,20.3,Rosenborg,1 - 1,Vålerenga,Lerkendal stadion
5,02.07.2020,torsdag,18,Kristiansund,2 - 2,Molde,Nordmøre stadion
5,02.07.2020,torsdag,20.3,Sarpsborg 08,0 - 1,Brann,Sarpsborg st KG
6,04.07.2020,lørdag,18,Start,1 - 1,Viking,Sparebanken Sør Arena
6,04.07.2020,lørdag,20.3,Vålerenga,2 - 2,Aalesund,Intility Arena
6,05.07.2020,søndag,18,Molde,2 - 1,Mjøndalen,Aker stadion
6,05.07.2020,søndag,18,Bodø/Glimt,5 - 0,Brann,Aspmyra stadion
6,05.07.2020,søndag,18,Odd,0 - 0,Haugesund,Skagerak Arena
6,05.07.2020,søndag,18,Strømsgodset,2 - 2,Kristiansund,Marienlyst stadion
6,05.07.2020,søndag,18,Sandefjord Fotball,0 - 3,Sarpsborg 08,Jotun Arena
6,05.07.2020,søndag,20.3,Stabæk,0 - 3,Rosenborg,Nadderud stadion
7,11.07.2020,lørdag,18,Haugesund,0 - 3,Molde,Haugesund Sparebank Arena
7,11.07.2020,lørdag,20.3,Rosenborg,3 - 0,Strømsgodset,Lerkendal stadion
7,12.07.2020,søndag,18,Viking,1 - 2,Odd,Lyse Arena
7,12.07.2020,søndag,18,Kristiansund,1 - 2,Stabæk,Nordmøre stadion
7,12.07.2020,søndag,18,Sarpsborg 08,1 - 0,Start,Sarpsborg st KG
7,12.07.2020,søndag,18,Mjøndalen,0 - 1,Vålerenga,Consto Arena
7,12.07.2020,søndag,18,Aalesund,1 - 6,Bodø/Glimt,Color Line Stadion
7,12.07.2020,søndag,20.3,Brann,3 - 1,Sandefjord Fotball,Brann stadion
8,15.07.2020,onsdag,18,Vålerenga,1 - 0,Haugesund,Intility Arena
8,15.07.2020,onsdag,18,Strømsgodset,2 - 1,Mjøndalen,Marienlyst stadion
8,15.07.2020,onsdag,18,Sandefjord Fotball,1 - 0,Aalesund,Jotun Arena
8,15.07.2020,onsdag,18,Bodø/Glimt,2 - 1,Kristiansund,Aspmyra stadion
8,15.07.2020,onsdag,18,Molde,5 - 0,Viking,Aker stadion
8,15.07.2020,onsdag,20.3,Odd,1 - 0,Brann,Skagerak Arena
8,16.07.2020,torsdag,18,Stabæk,1 - 1,Sarpsborg 08,Nadderud stadion
8,16.07.2020,torsdag,20.3,Start,0 - 0,Rosenborg,Sparebanken Sør Arena
9,18.07.2020,lørdag,18,Mjøndalen,2 - 3,Bodø/Glimt,Consto Arena
9,18.07.2020,lørdag,20.3,Haugesund,0 - 2,Viking,Haugesund Sparebank Arena
9,19.07.2020,søndag,18,Rosenborg,2 - 1,Sandefjord Fotball,Lerkendal stadion
9,19.07.2020,søndag,18,Kristiansund,0 - 0,Vålerenga,Nordmøre stadion
9,19.07.2020,søndag,18,Strømsgodset,0 - 4,Molde,Marienlyst stadion
9,19.07.2020,søndag,18,Sarpsborg 08,2 - 0,Odd,Sarpsborg st KG
9,19.07.2020,søndag,18,Aalesund,1 - 3,Stabæk,Color Line Stadion
9,19.07.2020,søndag,20.3,Brann,1 - 1,Start,Brann stadion
10,25.07.2020,lørdag,18,Odd,3 - 2,Aalesund,Skagerak Arena
10,25.07.2020,lørdag,20.3,Brann,1 - 1,Kristiansund,Brann stadion
10,26.07.2020,søndag,18,Vålerenga,2 - 0,Strømsgodset,Intility Arena
10,26.07.2020,søndag,18,Sandefjord Fotball,1 - 0,Mjøndalen,Jotun Arena
10,26.07.2020,søndag,18,Start,0 - 0,Stabæk,Sparebanken Sør Arena
10,26.07.2020,søndag,18,Bodø/Glimt,3 - 1,Molde,Aspmyra stadion
10,26.07.2020,søndag,18,Viking,3 - 0,Sarpsborg 08,Lyse Arena
10,26.07.2020,søndag,20.3,Haugesund,1 - 0,Rosenborg,Haugesund Sparebank Arena
11,29.07.2020,onsdag,18,Strømsgodset,3 - 1,Brann,Marienlyst stadion
11,29.07.2020,onsdag,18,Sarpsborg 08,0 - 0,Haugesund,Sarpsborg st KG
11,29.07.2020,onsdag,18,Mjøndalen,0 - 2,Odd,Consto Arena
11,29.07.2020,onsdag,18,Aalesund,3 - 2,Start,Color Line Stadion
11,29.07.2020,onsdag,18,Kristiansund,3 - 1,Sandefjord Fotball,Nordmøre stadion
11,29.07.2020,onsdag,20.3,Molde,4 - 1,Vålerenga,Aker stadion
11,30.07.2020,torsdag,18,Stabæk,2 - 2,Bodø/Glimt,Nadderud stadion
11,30.07.2020,torsdag,20.3,Rosenborg,3 - 0,Viking,Lerkendal stadion
12,01.08.2020,lørdag,18,Sandefjord Fotball,2 - 1,Molde,Jotun Arena
12,01.08.2020,lørdag,20.3,Brann,1 - 2,Vålerenga,Brann stadion
12,02.08.2020,søndag,18,Bodø/Glimt,3 - 2,Strømsgodset,Aspmyra stadion
12,02.08.2020,søndag,18,Sarpsborg 08,4 - 0,Aalesund,Sarpsborg st KG
12,02.08.2020,søndag,18,Viking,1 - 2,Kristiansund,Lyse Arena
12,02.08.2020,søndag,18,Haugesund,3 - 1,Stabæk,Haugesund Sparebank Arena
12,02.08.2020,søndag,18,Start,3 - 0,Mjøndalen,Sparebanken Sør Arena
12,02.08.2020,søndag,20.3,Odd,2 - 1,Rosenborg,Skagerak Arena
13,08.08.2020,lørdag,18,Vålerenga,2 - 2,Bodø/Glimt,Intility Arena
13,09.08.2020,søndag,18,Strømsgodset,3 - 4,Sandefjord Fotball,Marienlyst stadion
13,09.08.2020,søndag,18,Mjøndalen,1 - 0,Haugesund,Consto Arena
13,09.08.2020,søndag,18,Aalesund,2 - 2,Viking,Color Line Stadion
13,09.08.2020,søndag,18,Kristiansund,3 - 2,Start,Nordmøre stadion
13,09.08.2020,søndag,18,Stabæk,0 - 1,Odd,Nadderud stadion
13,09.08.2020,søndag,20.3,Rosenborg,5 - 1,Sarpsborg 08,Lerkendal stadion
13,10.08.2020,mandag,20.3,Molde,1 - 2,Brann,Aker stadion
14,15.08.2020,lørdag,16,Sarpsborg 08,2 - 1,Molde,Sarpsborg st KG
14,16.08.2020,søndag,18,Odd,2 - 1,Kristiansund,Skagerak Arena
14,16.08.2020,søndag,18,Viking,3 - 3,Stabæk,Lyse Arena
14,16.08.2020,søndag,18,Haugesund,2 - 3,Strømsgodset,Haugesund Sparebank Arena
14,16.08.2020,søndag,18,Brann,0 - 1,Mjøndalen,Brann stadion
14,16.08.2020,søndag,18,Sandefjord Fotball,1 - 2,Bodø/Glimt,Jotun Arena
14,16.08.2020,søndag,20.3,Rosenborg,3 - 2,Aalesund,Lerkendal stadion
14,17.08.2020,mandag,20.3,Start,2 - 1,Vålerenga,Sparebanken Sør Arena
15,22.08.2020,lørdag,15,Molde,2 - 0,Odd,Aker stadion
15,22.08.2020,lørdag,18,Bodø/Glimt,6 - 0,Start,Aspmyra stadion
15,22.08.2020,lørdag,18,Kristiansund,4 - 1,Sarpsborg 08,Nordmøre stadion
15,22.08.2020,lørdag,18,Vålerenga,2 - 1,Sandefjord Fotball,Intility Arena
15,22.08.2020,lørdag,18,Strømsgodset,0 - 2,Viking,Marienlyst stadion
15,22.08.2020,lørdag,18,Aalesund,1 - 3,Haugesund,Color Line Stadion
15,22.08.2020,lørdag,20.3,Mjøndalen,0 - 2,Rosenborg,Consto Arena
15,24.08.2020,mandag,20.3,Stabæk,0 - 2,Brann,Nadderud stadion
16,29.08.2020,lørdag,18,Haugesund,2 - 1,Vålerenga,Haugesund Sparebank Arena
16,29.08.2020,lørdag,20.3,Brann,1 - 1,Strømsgodset,Brann stadion
16,30.08.2020,søndag,18,Sarpsborg 08,0 - 3,Bodø/Glimt,Sarpsborg st KG
16,30.08.2020,søndag,18,Sandefjord Fotball,0 - 2,Kristiansund,Jotun Arena
16,30.08.2020,søndag,18,Start,1 - 0,Aalesund,Sparebanken Sør Arena
16,30.08.2020,søndag,18,Rosenborg,2 - 2,Stabæk,Lerkendal stadion
16,30.08.2020,søndag,18,Odd,6 - 1,Mjøndalen,Skagerak Arena
16,30.08.2020,søndag,20.3,Viking,3 - 2,Molde,Lyse Arena
17,05.08.2020,onsdag,19,Molde,5 - 0,Start,Aker stadion
17,12.09.2020,lørdag,18,Kristiansund,3 - 5,Viking,Nordmøre stadion
17,12.09.2020,lørdag,20.3,Stabæk,2 - 1,Haugesund,Nadderud stadion
17,13.09.2020,søndag,18,Bodø/Glimt,6 - 1,Odd,Aspmyra stadion
17,13.09.2020,søndag,18,Aalesund,0 - 1,Sarpsborg 08,Color Line Stadion
17,13.09.2020,søndag,18,Strømsgodset,3 - 3,Rosenborg,Marienlyst stadion
17,13.09.2020,søndag,18,Mjøndalen,0 - 2,Sandefjord Fotball,Consto Arena
17,13.09.2020,søndag,20.3,Vålerenga,5 - 1,Brann,Intility Arena
18,19.09.2020,lørdag,18,Vålerenga,2 - 1,Molde,Intility Arena
18,19.09.2020,lørdag,20.3,Sarpsborg 08,2 - 0,Mjøndalen,Sarpsborg st KG
18,20.09.2020,søndag,18,Sandefjord Fotball,0 - 0,Strømsgodset,Jotun Arena
18,20.09.2020,søndag,18,Viking,5 - 2,Aalesund,Lyse Arena
18,20.09.2020,søndag,18,Brann,1 - 3,Bodø/Glimt,Brann stadion
18,20.09.2020,søndag,18,Rosenborg,2 - 1,Haugesund,Lerkendal stadion
18,20.09.2020,søndag,18,Start,1 - 2,Kristiansund,Sparebanken Sør Arena
18,20.09.2020,søndag,20.3,Odd,2 - 0,Stabæk,Skagerak Arena
19,26.09.2020,lørdag,18,Molde,0 - 1,Sandefjord Fotball,Aker stadion
19,26.09.2020,lørdag,20.3,Strømsgodset,0 - 0,Sarpsborg 08,Marienlyst stadion
19,27.09.2020,søndag,18,Kristiansund,1 - 1,Brann,Nordmøre stadion
19,27.09.2020,søndag,18,Haugesund,4 - 4,Odd,Haugesund Sparebank Arena
19,27.09.2020,søndag,18,Stabæk,2 - 0,Start,Nadderud stadion
19,27.09.2020,søndag,18,Aalesund,1 - 2,Rosenborg,Color Line Stadion
19,27.09.2020,søndag,18,Mjøndalen,1 - 2,Viking,Consto Arena
19,27.09.2020,søndag,20.3,Bodø/Glimt,2 - 0,Vålerenga,Aspmyra stadion
20,03.10.2020,lørdag,18,Sarpsborg 08,4 - 0,Stabæk,Sarpsborg st KG
20,03.10.2020,lørdag,20.3,Vålerenga,4 - 1,Mjøndalen,Intility Arena
20,04.10.2020,søndag,18,Viking,2 - 2,Strømsgodset,Lyse Arena
20,04.10.2020,søndag,18,Brann,1 - 2,Molde,Brann stadion
20,04.10.2020,søndag,18,Aalesund,1 - 2,Kristiansund,Color Line Stadion
20,04.10.2020,søndag,18,Start,5 - 1,Haugesund,Sparebanken Sør Arena
20,04.10.2020,søndag,18,Bodø/Glimt,2 - 1,Sandefjord Fotball,Aspmyra stadion
20,04.10.2020,søndag,20.3,Rosenborg,4 - 1,Odd,Lerkendal stadion
21,17.10.2020,lørdag,18,Mjøndalen,2 - 0,Brann,Consto Arena
21,17.10.2020,lørdag,20.3,Molde,4 - 2,Bodø/Glimt,Aker stadion
21,18.10.2020,søndag,18,Kristiansund,0 - 0,Rosenborg,Nordmøre stadion
21,18.10.2020,søndag,18,Haugesund,2 - 0,Sarpsborg 08,Haugesund Sparebank Arena
21,18.10.2020,søndag,18,Stabæk,4 - 0,Aalesund,Nadderud stadion
21,18.10.2020,søndag,18,Strømsgodset,1 - 1,Start,Marienlyst stadion
21,18.10.2020,søndag,20.3,Sandefjord Fotball,0 - 3,Vålerenga,Jotun Arena
21,04.11.2020,onsdag,19,Odd,3 - 0,Viking,Skagerak Arena
22,24.10.2020,lørdag,18,Start,0 - 1,Sandefjord Fotball,Sparebanken Sør Arena
22,24.10.2020,lørdag,20.3,Brann,1 - 1,Stabæk,Brann stadion
22,25.10.2020,søndag,18,Molde,2 - 1,Strømsgodset,Aker stadion
22,25.10.2020,søndag,18,Vålerenga,1 - 1,Kristiansund,Intility Arena
22,25.10.2020,søndag,18,Sarpsborg 08,1 - 2,Rosenborg,Sarpsborg st KG
22,25.10.2020,søndag,18,Aalesund,0 - 3,Odd,Color Line Stadion
22,25.10.2020,søndag,20.3,Bodø/Glimt,2 - 0,Mjøndalen,Aspmyra Kgb
22,27.10.2020,tirsdag,19,Viking,0 - 1,Haugesund,Lyse Arena
23,31.10.2020,lørdag,18,Odd,1 - 1,Sarpsborg 08,Skagerak Arena
23,31.10.2020,lørdag,20.3,Haugesund,0 - 1,Aalesund,Haugesund Sparebank Arena
23,01.11.2020,søndag,15,Mjøndalen,1 - 3,Molde,Consto Arena
23,01.11.2020,søndag,18,Rosenborg,1 - 0,Start,Lerkendal stadion
23,01.11.2020,søndag,18,Kristiansund,2 - 3,Bodø/Glimt,Nordmøre stadion
23,01.11.2020,søndag,18,Stabæk,1 - 1,Viking,Nadderud stadion
23,01.11.2020,søndag,18,Sandefjord Fotball,3 - 3,Brann,Jotun Arena
23,01.11.2020,søndag,20.3,Strømsgodset,0 - 2,Vålerenga,Marienlyst stadion
24,07.11.2020,lørdag,18,Mjøndalen,3 - 0,Strømsgodset,Consto Arena
24,07.11.2020,lørdag,20.3,Brann,1 - 2,Haugesund,Brann stadion
24,08.11.2020,søndag,18,Molde,2 - 2,Kristiansund,Aker stadion
24,08.11.2020,søndag,18,Bodø/Glimt,7 - 0,Aalesund,Aspmyra stadion
24,08.11.2020,søndag,18,Viking,3 - 0,Rosenborg,Lyse Arena
24,08.11.2020,søndag,18,Sandefjord Fotball,0 - 0,Stabæk,Jotun Arena
24,08.11.2020,søndag,18,Start,3 - 2,Sarpsborg 08,Sparebanken Sør Arena
24,08.11.2020,søndag,20.3,Vålerenga,2 - 0,Odd,Intility Arena
25,21.11.2020,lørdag,16,Stabæk,0 - 3,Molde,Nadderud stadion
25,21.11.2020,lørdag,18,Aalesund,1 - 1,Vålerenga,Color Line Stadion
25,22.11.2020,søndag,18,Odd,1 - 2,Start,Skagerak Arena
25,22.11.2020,søndag,18,Kristiansund,1 - 0,Mjøndalen,Nordmøre stadion
25,22.11.2020,søndag,18,Haugesund,3 - 2,Sandefjord Fotball,Haugesund Sparebank Arena
25,22.11.2020,søndag,18,Sarpsborg 08,1 - 2,Viking,Sarpsborg st KG
25,22.11.2020,søndag,20,Strømsgodset,1 - 2,Bodø/Glimt,Marienlyst stadion
25,24.11.2020,tirsdag,19,Rosenborg,2 - 3,Brann,Lerkendal stadion
26,28.11.2020,lørdag,16,Viking,4 - 1,Start,Lyse Arena
26,28.11.2020,lørdag,18,Brann,3 - 1,Aalesund,Brann stadion
26,29.11.2020,søndag,18,Molde,3 - 1,Haugesund,Aker stadion
26,29.11.2020,søndag,18,Bodø/Glimt,5 - 1,Rosenborg,Aspmyra stadion
26,29.11.2020,søndag,18,Kristiansund,2 - 1,Strømsgodset,Nordmøre stadion
26,29.11.2020,søndag,18,Mjøndalen,0 - 1,Stabæk,Consto Arena
26,29.11.2020,søndag,20,Vålerenga,1 - 1,Sarpsborg 08,Intility Arena
26,13.12.2020,søndag,18,Sandefjord Fotball,1 - 1,Odd,Jotun Arena
27,02.12.2020,onsdag,18,Viking,2 - 0,Brann,Lyse Arena
27,02.12.2020,onsdag,18,Haugesund,1 - 1,Mjøndalen,Haugesund Sparebank Arena
27,02.12.2020,onsdag,18,Sarpsborg 08,1 - 1,Kristiansund,Sarpsborg st KG
27,02.12.2020,onsdag,18,Aalesund,0 - 1,Sandefjord Fotball,Color Line Stadion
27,02.12.2020,onsdag,18,Start,1 - 1,Bodø/Glimt,Sparebanken Sør Arena
27,02.12.2020,onsdag,20,Stabæk,1 - 1,Vålerenga,Nadderud stadion
27,13.12.2020,søndag,18,Rosenborg,3 - 1,Molde,Lerkendal stadion
27,19.12.2020,lørdag,18,Odd,1 - 3,Strømsgodset,Skagerak Arena
28,06.12.2020,søndag,17,Bodø/Glimt,5 - 2,Stabæk,Aspmyra stadion
28,06.12.2020,søndag,17,Brann,1 - 1,Sarpsborg 08,Brann stadion
28,06.12.2020,søndag,17,Strømsgodset,2 - 2,Haugesund,Marienlyst stadion
28,06.12.2020,søndag,17,Mjøndalen,1 - 0,Start,Consto Arena
28,06.12.2020,søndag,17,Sandefjord Fotball,2 - 2,Viking,Jotun Arena
28,06.12.2020,søndag,19,Molde,2 - 1,Aalesund,Aker stadion
28,07.12.2020,mandag,18,Vålerenga,1 - 0,Rosenborg,Intility Arena
28,09.12.2020,onsdag,18,Kristiansund,4 - 3,Odd,Nordmøre stadion
29,09.12.2020,onsdag,18,Haugesund,0 - 4,Bodø/Glimt,Haugesund Sparebank Arena
29,09.12.2020,onsdag,18,Sarpsborg 08,0 - 0,Sandefjord Fotball,Sarpsborg st KG
29,09.12.2020,onsdag,18,Aalesund,1 - 4,Strømsgodset,Color Line Stadion
29,09.12.2020,onsdag,20,Start,1 - 1,Brann,Sparebanken Sør Arena
29,10.12.2020,torsdag,18,Rosenborg,1 - 0,Mjøndalen,Lerkendal stadion
29,10.12.2020,torsdag,18,Viking,2 - 2,Vålerenga,Lyse Arena
29,13.12.2020,søndag,18,Stabæk,2 - 2,Kristiansund,Nadderud stadion
29,16.12.2020,onsdag,18,Odd,1 - 4,Molde,Skagerak Arena
30,19.12.2020,lørdag,15.3,Molde,5 - 0,Sarpsborg 08,Aker stadion
30,19.12.2020,lørdag,18,Bodø/Glimt,3 - 0,Viking,Aspmyra stadion
30,22.12.2020,tirsdag,18,Kristiansund,1 - 3,Haugesund,Nordmøre stadion
30,22.12.2020,tirsdag,18,Brann,2 - 1,Odd,Brann stadion
30,22.12.2020,tirsdag,18,Vålerenga,4 - 0,Start,Intility Arena
30,22.12.2020,tirsdag,18,Strømsgodset,0 - 4,Stabæk,Marienlyst stadion
30,22.12.2020,tirsdag,18,Mjøndalen,3 - 0,Aalesund,Consto Arena
30,22.12.2020,tirsdag,18,Sandefjord Fotball,0 - 0,Rosenborg,Jotun Arena
