Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,16.06.2020,tirsdag,18,Rosenborg,0 - 0,Kristiansund,Lerkendal stadion
1,16.06.2020,tirsdag,18,Odd,1 - 2,Sandefjord Fotball,Skagerak Arena
1,16.06.2020,tirsdag,18,Viking,2 - 4,Bodø/Glimt,Lyse Arena
1,16.06.2020,tirsdag,18,Stabæk,0 - 0,Mjøndalen,Nadderud stadion
1,16.06.2020,tirsdag,18,Aalesund,1 - 4,Molde,Color Line Stadion
1,16.06.2020,tirsdag,20.3,Sarpsborg 08,0 - 1,Vålerenga,Sarpsborg st KG
1,17.06.2020,onsdag,18,Start,2 - 2,Strømsgodset,Sparebanken Sør Arena
1,17.06.2020,onsdag,20.3,Haugesund,1 - 2,Brann,Haugesund Sparebank Arena
2,20.06.2020,lørdag,18,Mjøndalen,1 - 0,Sarpsborg 08,Consto Arena
2,20.06.2020,lørdag,20.3,Molde,1 - 0,Rosenborg,Aker stadion
2,21.06.2020,søndag,18,Bodø/Glimt,6 - 1,Haugesund,Aspmyra stadion
2,21.06.2020,søndag,18,Kristiansund,7 - 2,Aalesund,Nordmøre stadion
2,21.06.2020,søndag,18,Vålerenga,2 - 2,Stabæk,Intility Arena
2,21.06.2020,søndag,18,Strømsgodset,1 - 0,Odd,Marienlyst stadion
2,21.06.2020,søndag,18,Sandefjord Fotball,2 - 2,Start,Jotun Arena
2,21.06.2020,søndag,20.3,Brann,3 - 0,Viking,Brann stadion
3,24.06.2020,onsdag,18,Viking,1 - 1,Mjøndalen,Lyse Arena
3,24.06.2020,onsdag,18,Haugesund,2 - 2,Kristiansund,Haugesund Sparebank Arena
3,24.06.2020,onsdag,18,Stabæk,2 - 0,Sandefjord Fotball,Nadderud stadion
3,24.06.2020,onsdag,18,Aalesund,2 - 2,Brann,Color Line Stadion
3,24.06.2020,onsdag,18,Start,2 - 3,Molde,Sparebanken Sør Arena
3,24.06.2020,onsdag,20.3,Odd,4 - 1,Vålerenga,Skagerak Arena
3,25.06.2020,torsdag,18,Sarpsborg 08,2 - 3,Strømsgodset,Sarpsborg st KG
3,25.06.2020,torsdag,20.3,Rosenborg,2 - 3,Bodø/Glimt,Lerkendal stadion
4,27.06.2020,lørdag,18,Start,0 - 5,Odd,Sparebanken Sør Arena
4,27.06.2020,lørdag,20.3,Vålerenga,2 - 1,Viking,Intility Arena
4,28.06.2020,søndag,18,Molde,4 - 1,Stabæk,Aker stadion
4,28.06.2020,søndag,18,Bodø/Glimt,2 - 1,Sarpsborg 08,Aspmyra stadion
