Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,31.03.2024,søndag,18,Odd,1 - 2,Haugesund,Skagerak Arena
1,01.04.2024,mandag,14.3,Fredrikstad,0 - 2,Bodø/Glimt,Fredrikstad stadion
1,01.04.2024,mandag,17,Lillestrøm,2 - 3,Kristiansund,Åråsen stadion
1,01.04.2024,mandag,17,Molde,4 - 0,Strømsgodset,Aker stadion
1,01.04.2024,mandag,17,Rosenborg,2 - 0,Sandefjord Fotball,Lerkendal stadion
1,01.04.2024,mandag,17,Tromsø,2 - 4,Brann,Romssa Arena
1,01.04.2024,mandag,19.15,Viking,1 - 0,Sarpsborg 08,Lyse Arena
1,02.04.2024,tirsdag,19,KFUM,1 - 1,HamKam,Intility Arena
2,06.04.2024,lørdag,18,Bodø/Glimt,1 - 0,Viking,Aspmyra stadion
2,07.04.2024,søndag,14.3,Kristiansund,1 - 1,KFUM,Nordmøre stadion
2,07.04.2024,søndag,17,HamKam,0 - 1,Molde,Briskeby
2,07.04.2024,søndag,17,Haugesund,0 - 2,Lillestrøm,Haugesund Sparebank Arena
2,07.04.2024,søndag,17,Sarpsborg 08,0 - 1,Odd,Sarpsborg st KG
2,07.04.2024,søndag,17,Strømsgodset,1 - 0,Rosenborg,Marienlyst stadion
2,07.04.2024,søndag,19.15,Brann,0 - 2,Fredrikstad,Brann stadion
2,03.07.2024,onsdag,19,Sandefjord Fotball,1 - 2,Tromsø,Jotun Arena
3,13.04.2024,lørdag,18,Fredrikstad,2 - 2,Sarpsborg 08,Fredrikstad stadion
3,14.04.2024,søndag,14.3,Viking,1 - 1,Brann,Lyse Arena
3,14.04.2024,søndag,17,Molde,2 - 0,Kristiansund,Aker stadion
3,14.04.2024,søndag,17,Odd,2 - 2,Sandefjord Fotball,Skagerak Arena
3,14.04.2024,søndag,17,Rosenborg,1 - 0,HamKam,Lerkendal stadion
3,14.04.2024,søndag,17,Tromsø,0 - 1,Haugesund,Romssa Arena
3,14.04.2024,søndag,19.15,Lillestrøm,0 - 5,Bodø/Glimt,Åråsen stadion
3,16.04.2024,tirsdag,19,KFUM,1 - 3,Strømsgodset,Intility Arena
4,21.04.2024,søndag,14.3,HamKam,0 - 1,Strømsgodset,Briskeby
4,21.04.2024,søndag,17,Brann,2 - 0,Odd,Brann stadion
4,21.04.2024,søndag,17,Haugesund,1 - 3,Rosenborg,Haugesund Sparebank Arena
4,21.04.2024,søndag,17,Kristiansund,1 - 0,Tromsø,Nordmøre stadion
4,21.04.2024,søndag,17,Sandefjord Fotball,0 - 1,Lillestrøm,Jotun Arena
4,21.04.2024,søndag,17,Sarpsborg 08,0 - 2,KFUM,Sarpsborg st KG
4,21.04.2024,søndag,17,Viking,1 - 1,Fredrikstad,Lyse Arena
4,21.04.2024,søndag,19.15,Bodø/Glimt,1 - 1,Molde,Aspmyra stadion
5,27.04.2024,lørdag,18,Rosenborg,1 - 3,Bodø/Glimt,Lerkendal stadion
5,28.04.2024,søndag,17,Fredrikstad,1 - 0,Sandefjord Fotball,Fredrikstad stadion
5,28.04.2024,søndag,17,KFUM,0 - 0,Brann,KFUM-Arena
5,28.04.2024,søndag,17,Lillestrøm,1 - 1,HamKam,Åråsen stadion
5,28.04.2024,søndag,17,Molde,2 - 1,Haugesund,Aker stadion
5,28.04.2024,søndag,17,Strømsgodset,2 - 2,Kristiansund,Marienlyst stadion
5,28.04.2024,søndag,17,Tromsø,0 - 3,Sarpsborg 08,Romssa Arena
5,28.04.2024,søndag,19.15,Odd,3 - 3,Viking,Skagerak Arena
6,04.05.2024,lørdag,18,Brann,3 - 0,Rosenborg,Brann stadion
6,05.05.2024,søndag,17,Bodø/Glimt,1 - 0,Strømsgodset,Aspmyra stadion
6,05.05.2024,søndag,17,Haugesund,0 - 1,KFUM,Haugesund Sparebank Arena
6,05.05.2024,søndag,17,Kristiansund,1 - 1,HamKam,Nordmøre stadion
6,05.05.2024,søndag,17,Odd,0 - 2,Fredrikstad,Skagerak Arena
6,05.05.2024,søndag,17,Sandefjord Fotball,3 - 1,Molde,Jotun Arena
6,05.05.2024,søndag,17,Sarpsborg 08,1 - 0,Lillestrøm,Sarpsborg st KG
6,05.05.2024,søndag,19.15,Viking,2 - 1,Tromsø,Lyse Arena
7,11.05.2024,lørdag,18,Molde,2 - 2,Rosenborg,Aker stadion
7,12.05.2024,søndag,14.3,Kristiansund,2 - 4,Bodø/Glimt,Nordmøre stadion
7,12.05.2024,søndag,17,HamKam,2 - 2,Haugesund,Briskeby
7,12.05.2024,søndag,17,KFUM,1 - 4,Fredrikstad,KFUM-Arena
7,12.05.2024,søndag,17,Sandefjord Fotball,4 - 1,Sarpsborg 08,Jotun Arena
7,12.05.2024,søndag,17,Strømsgodset,0 - 1,Viking,Marienlyst stadion
7,12.05.2024,søndag,17,Tromsø,4 - 0,Odd,Romssa Arena
7,12.05.2024,søndag,19.15,Lillestrøm,0 - 2,Brann,Åråsen stadion
8,16.05.2024,torsdag,18,Bodø/Glimt,4 - 0,Tromsø,Aspmyra stadion
8,16.05.2024,torsdag,18,Brann,2 - 1,Sandefjord Fotball,Brann stadion
8,16.05.2024,torsdag,18,Fredrikstad,4 - 1,Strømsgodset,Fredrikstad stadion
8,16.05.2024,torsdag,18,Haugesund,1 - 0,Kristiansund,Haugesund Sparebank Arena
8,16.05.2024,torsdag,18,Odd,0 - 4,Molde,Skagerak Arena
8,16.05.2024,torsdag,18,Rosenborg,1 - 3,KFUM,Lerkendal stadion
8,16.05.2024,torsdag,18,Sarpsborg 08,1 - 7,HamKam,Sarpsborg st KG
8,16.05.2024,torsdag,18,Viking,1 - 4,Lillestrøm,Lyse Arena
9,20.05.2024,mandag,17,HamKam,1 - 0,Bodø/Glimt,Briskeby
9,20.05.2024,mandag,17,KFUM,0 - 0,Odd,KFUM-Arena
9,20.05.2024,mandag,17,Kristiansund,2 - 2,Brann,Nordmøre stadion
9,20.05.2024,mandag,17,Lillestrøm,0 - 3,Fredrikstad,Åråsen stadion
9,20.05.2024,mandag,17,Molde,2 - 4,Sarpsborg 08,Aker stadion
9,20.05.2024,mandag,17,Sandefjord Fotball,0 - 3,Viking,Jotun Arena
9,20.05.2024,mandag,17,Strømsgodset,2 - 0,Haugesund,Marienlyst stadion
9,20.05.2024,mandag,19.15,Tromsø,3 - 2,Rosenborg,Romssa Arena
10,24.05.2024,fredag,19,Bodø/Glimt,2 - 2,KFUM,Aspmyra stadion
10,25.05.2024,lørdag,18,Fredrikstad,0 - 0,Tromsø,Fredrikstad stadion
10,26.05.2024,søndag,17,Haugesund,2 - 1,Sandefjord Fotball,Haugesund Sparebank Arena
10,26.05.2024,søndag,17,Odd,2 - 1,Lillestrøm,Skagerak Arena
10,26.05.2024,søndag,17,Rosenborg,2 - 1,Kristiansund,Lerkendal stadion
10,26.05.2024,søndag,17,Sarpsborg 08,1 - 3,Strømsgodset,Sarpsborg st KG
10,26.05.2024,søndag,17,Viking,3 - 0,HamKam,Lyse Arena
10,26.05.2024,søndag,19.15,Brann,1 - 3,Molde,Brann stadion
11,01.06.2024,lørdag,18,HamKam,1 - 2,Brann,Briskeby
11,02.06.2024,søndag,14.3,Molde,2 - 2,Viking,Aker stadion
11,02.06.2024,søndag,17,Haugesund,0 - 1,Bodø/Glimt,Haugesund Sparebank Arena
11,02.06.2024,søndag,17,KFUM,3 - 3,Sandefjord Fotball,KFUM-Arena
11,02.06.2024,søndag,17,Kristiansund,3 - 1,Sarpsborg 08,Nordmøre stadion
11,02.06.2024,søndag,17,Strømsgodset,1 - 1,Odd,Marienlyst stadion
11,02.06.2024,søndag,17,Tromsø,1 - 2,Lillestrøm,Romssa Arena
11,02.06.2024,søndag,19.15,Rosenborg,1 - 1,Fredrikstad,Lerkendal stadion
12,27.06.2024,torsdag,19,Sandefjord Fotball,1 - 2,HamKam,Jotun Arena
12,27.06.2024,torsdag,21.15,Lillestrøm,2 - 1,KFUM,Åråsen stadion
12,28.06.2024,fredag,19,Brann,0 - 0,Strømsgodset,Brann stadion
12,28.06.2024,fredag,19,Odd,1 - 1,Kristiansund,Skagerak Arena
12,28.06.2024,fredag,19,Sarpsborg 08,1 - 2,Bodø/Glimt,Sarpsborg st KG
12,28.06.2024,fredag,21.15,Tromsø,0 - 2,Molde,Romssa Arena
12,30.06.2024,søndag,15,Viking,4 - 2,Rosenborg,Lyse Arena
12,14.08.2024,onsdag,19,Fredrikstad,1 - 0,Haugesund,Fredrikstad stadion
13,07.07.2024,søndag,14.3,Bodø/Glimt,5 - 1,Brann,Aspmyra stadion
13,07.07.2024,søndag,17,HamKam,0 - 0,Tromsø,Briskeby
13,07.07.2024,søndag,17,Haugesund,1 - 2,Sarpsborg 08,Haugesund Sparebank Arena
13,07.07.2024,søndag,17,KFUM,1 - 2,Viking,KFUM-Arena
13,07.07.2024,søndag,17,Molde,3 - 0,Lillestrøm,Aker stadion
13,07.07.2024,søndag,19.15,Rosenborg,2 - 1,Odd,Lerkendal stadion
13,08.07.2024,mandag,19,Kristiansund,3 - 1,Fredrikstad,Aker stadion
13,08.07.2024,mandag,19,Strømsgodset,1 - 1,Sandefjord Fotball,Marienlyst stadion
14,12.07.2024,fredag,19,Sarpsborg 08,4 - 1,Rosenborg,Sarpsborg st KG
14,13.07.2024,lørdag,17,Fredrikstad,0 - 0,Molde,Fredrikstad stadion
14,13.07.2024,lørdag,17,Lillestrøm,3 - 1,Strømsgodset,Åråsen stadion
14,13.07.2024,lørdag,17,Odd,1 - 2,HamKam,Skagerak Arena
14,13.07.2024,lørdag,17,Sandefjord Fotball,2 - 1,Bodø/Glimt,Jotun Arena
14,13.07.2024,lørdag,17,Viking,2 - 0,Kristiansund,Lyse Arena
14,13.07.2024,lørdag,19.15,Brann,1 - 1,Haugesund,Brann stadion
14,13.07.2024,lørdag,22,Tromsø,1 - 2,KFUM,Romssa Arena
15,19.07.2024,fredag,19,Bodø/Glimt,3 - 1,Odd,Aspmyra stadion
15,20.07.2024,lørdag,18,Sarpsborg 08,1 - 1,Brann,Sarpsborg st KG
15,20.07.2024,lørdag,20.15,Molde,2 - 3,KFUM,Aker stadion
15,21.07.2024,søndag,14.3,Strømsgodset,0 - 1,Tromsø,Marienlyst stadion
15,21.07.2024,søndag,17,HamKam,0 - 1,Fredrikstad,Briskeby
15,21.07.2024,søndag,17,Haugesund,1 - 0,Viking,Haugesund Sparebank Arena
15,21.08.2024,onsdag,19,Rosenborg,4 - 0,Lillestrøm,Lerkendal stadion
15,05.10.2024,lørdag,15,Kristiansund,2 - 1,Sandefjord Fotball,Nordmøre stadion
16,17.04.2024,onsdag,18,Brann,1 - 0,HamKam,Brann stadion
16,27.07.2024,lørdag,16,KFUM,1 - 1,Bodø/Glimt,KFUM-Arena
16,27.07.2024,lørdag,18,Fredrikstad,2 - 2,Rosenborg,Fredrikstad stadion
16,28.07.2024,søndag,17,Lillestrøm,2 - 2,Sarpsborg 08,Åråsen stadion
16,28.07.2024,søndag,17,Odd,2 - 0,Strømsgodset,Skagerak Arena
16,28.07.2024,søndag,17,Sandefjord Fotball,4 - 3,Haugesund,Jotun Arena
16,28.07.2024,søndag,17,Tromsø,0 - 0,Kristiansund,Romssa Arena
16,28.07.2024,søndag,19.15,Viking,1 - 0,Molde,Lyse Arena
17,17.04.2024,onsdag,18,Molde,1 - 2,Odd,Aker stadion
17,03.08.2024,lørdag,18,Bodø/Glimt,4 - 2,Haugesund,Aspmyra stadion
17,04.08.2024,søndag,17,Fredrikstad,0 - 0,KFUM,Fredrikstad stadion
17,04.08.2024,søndag,17,HamKam,3 - 3,Viking,Briskeby
17,04.08.2024,søndag,17,Kristiansund,2 - 1,Lillestrøm,Aker stadion
17,04.08.2024,søndag,17,Sarpsborg 08,2 - 1,Sandefjord Fotball,Sarpsborg st KG
17,04.08.2024,søndag,17,Strømsgodset,2 - 3,Brann,Marienlyst stadion
17,04.08.2024,søndag,19.15,Rosenborg,1 - 0,Tromsø,Lerkendal stadion
18,29.05.2024,onsdag,19,Brann,2 - 1,Kristiansund,Brann stadion
18,29.05.2024,onsdag,19,Tromsø,3 - 0,Fredrikstad,Romssa Arena
18,09.08.2024,fredag,19,Sandefjord Fotball,2 - 2,Strømsgodset,Jotun Arena
18,10.08.2024,lørdag,16,Haugesund,0 - 1,HamKam,Haugesund Sparebank Arena
