Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,02.04.2022,lørdag,16,HamKam,2 - 2,Lillestrøm,Briskeby
1,02.04.2022,lørdag,18,Molde,1 - 0,Vålerenga,Aker stadion
1,03.04.2022,søndag,18,Aalesund,1 - 0,Kristiansund,Color Line Stadion
1,03.04.2022,søndag,18,Haugesund,1 - 3,Sandefjord Fotball,Haugesund Sparebank Arena
1,03.04.2022,søndag,18,Jerv,1 - 0,Strømsgodset,Levermyr stadion
1,03.04.2022,søndag,18,Sarpsborg 08,0 - 1,Viking,Sarpsborg st KG
1,03.04.2022,søndag,18,Odd,2 - 0,Tromsø,Skagerak Arena
1,03.04.2022,søndag,20,Bodø/Glimt,2 - 2,Rosenborg,Aspmyra stadion
2,09.04.2022,lørdag,16,Lillestrøm,4 - 0,Jerv,Åråsen stadion
2,10.04.2022,søndag,18,Vålerenga,2 - 1,Haugesund,Intility Arena
2,10.04.2022,søndag,18,Tromsø,2 - 1,HamKam,Romssa Arena
2,10.04.2022,søndag,18,Sandefjord Fotball,1 - 2,Bodø/Glimt,Jotun Arena
2,10.04.2022,søndag,18,Rosenborg,1 - 0,Odd,Lerkendal stadion
2,10.04.2022,søndag,18,Strømsgodset,1 - 3,Molde,Marienlyst stadion
2,10.04.2022,søndag,18,Kristiansund,2 - 3,Sarpsborg 08,Nordmøre stadion
2,10.04.2022,søndag,20,Viking,1 - 0,Aalesund,Lyse Arena
3,18.04.2022,mandag,18,Aalesund,2 - 2,Tromsø,Color Line Stadion
3,18.04.2022,mandag,18,HamKam,3 - 0,Sandefjord Fotball,Briskeby
3,18.04.2022,mandag,18,Haugesund,0 - 1,Strømsgodset,Haugesund Sparebank Arena
3,18.04.2022,mandag,18,Jerv,1 - 0,Kristiansund,Levermyr stadion
3,18.04.2022,mandag,18,Molde,1 - 2,Lillestrøm,Aker stadion
3,18.04.2022,mandag,18,Sarpsborg 08,1 - 1,Rosenborg,Sarpsborg st KG
3,18.04.2022,mandag,18,Odd,2 - 1,Viking,Skagerak Arena
