season,winner,loser,goal_diff,is_draw,home_team,away_team,home_goals,away_goals,home_form,away_form,home_home_form,away_away_form,total_goals
2019,Bodø/Glimt,Vålerenga,4,False,Bodø/Glimt,Vålerenga,4,0,2.6,1.0,3.0,1.3333333333333333,4
2019,Odd,Bodø/Glimt,2,False,Odd,Bodø/Glimt,3,1,1.2,2.6,2.3333333333333335,2.3333333333333335,4
2019,Stabæk,Strømsgodset,1,False,Stabæk,Strømsgodset,2,1,1.0,1.2,1.6666666666666667,0.3333333333333333,3
2019,Vålerenga,Rosenborg,0,True,Vålerenga,Rosenborg,1,1,0.4,2.2,1.3333333333333333,1.6666666666666667,2
2019,Rosenborg,Vålerenga,0,True,Vålerenga,Rosenborg,1,1,0.4,2.2,1.3333333333333333,1.6666666666666667,2
2019,Brann,Lillestrøm,2,False,Lillestrøm,Brann,1,3,2.0,1.4,3.0,1.3333333333333333,4
2019,Molde,Mjøndalen,2,False,Mjøndalen,Molde,1,3,1.4,2.2,2.3333333333333335,2.3333333333333335,4
2019,Sarpsborg 08,Viking,0,True,Sarpsborg 08,Viking,2,2,0.4,1.4,1.0,0.3333333333333333,4
2019,Viking,Sarpsborg 08,0,True,Sarpsborg 08,Viking,2,2,0.4,1.4,1.0,0.3333333333333333,4
2019,Kristiansund,Ranheim TF,1,False,Ranheim TF,Kristiansund,1,2,0.8,1.0,0.0,0.3333333333333333,3
2019,Tromsø,Haugesund,0,True,Tromsø,Haugesund,2,2,1.0,1.4,1.6666666666666667,1.6666666666666667,4
2019,Haugesund,Tromsø,0,True,Tromsø,Haugesund,2,2,1.0,1.4,1.6666666666666667,1.6666666666666667,4
2019,Rosenborg,Lillestrøm,2,False,Rosenborg,Lillestrøm,3,1,1.8,1.4,3.0,1.3333333333333333,4
2019,Kristiansund,Brann,1,False,Kristiansund,Brann,1,0,1.4,1.8,1.3333333333333333,2.0,1
2019,Molde,Tromsø,3,False,Molde,Tromsø,3,0,2.6,1.2,1.6666666666666667,1.0,3
2019,Haugesund,Mjøndalen,0,True,Haugesund,Mjøndalen,0,0,1.0,0.8,1.0,0.3333333333333333,0
2019,Mjøndalen,Haugesund,0,True,Haugesund,Mjøndalen,0,0,1.0,0.8,1.0,0.3333333333333333,0
2019,Bodø/Glimt,Stabæk,0,True,Bodø/Glimt,Stabæk,3,3,2.0,1.6,3.0,0.0,6
2019,Stabæk,Bodø/Glimt,0,True,Bodø/Glimt,Stabæk,3,3,2.0,1.6,3.0,0.0,6
2019,Strømsgodset,Ranheim TF,1,False,Strømsgodset,Ranheim TF,1,0,1.2,0.8,2.0,1.3333333333333333,1
2019,Viking,Odd,2,False,Viking,Odd,2,0,1.6,1.8,2.3333333333333335,0.6666666666666666,2
2019,Sarpsborg 08,Vålerenga,1,False,Sarpsborg 08,Vålerenga,1,0,0.6,0.4,1.0,0.3333333333333333,1
2019,Brann,Haugesund,0,True,Brann,Haugesund,0,0,1.2,1.0,1.3333333333333333,1.6666666666666667,0
2019,Haugesund,Brann,0,True,Brann,Haugesund,0,0,1.2,1.0,1.3333333333333333,1.6666666666666667,0
2019,Strømsgodset,Tromsø,1,False,Tromsø,Strømsgodset,0,1,1.0,1.8,1.0,0.0,1
2019,Odd,Sarpsborg 08,3,False,Odd,Sarpsborg 08,3,0,1.2,1.0,2.3333333333333335,0.0,3
2019,Lillestrøm,Kristiansund,0,True,Lillestrøm,Kristiansund,1,1,1.4,1.8,2.0,1.3333333333333333,2
2019,Kristiansund,Lillestrøm,0,True,Lillestrøm,Kristiansund,1,1,1.4,1.8,2.0,1.3333333333333333,2
2019,Ranheim TF,Bodø/Glimt,0,True,Ranheim TF,Bodø/Glimt,1,1,0.8,1.6,0.0,1.3333333333333333,2
2019,Bodø/Glimt,Ranheim TF,0,True,Ranheim TF,Bodø/Glimt,1,1,0.8,1.6,0.0,1.3333333333333333,2
2019,Rosenborg,Mjøndalen,1,False,Mjøndalen,Rosenborg,1,2,0.8,2.2,2.0,1.0,3
2019,Viking,Vålerenga,4,False,Vålerenga,Viking,0,4,0.4,2.2,0.6666666666666666,0.3333333333333333,4
2019,Molde,Stabæk,1,False,Stabæk,Molde,1,2,1.6,2.6,2.3333333333333335,3.0,3
2019,Rosenborg,Brann,0,True,Rosenborg,Brann,0,0,2.2,0.8,3.0,1.0,0
2019,Brann,Rosenborg,0,True,Rosenborg,Brann,0,0,2.2,0.8,3.0,1.0,0
2019,Bodø/Glimt,Tromsø,4,False,Bodø/Glimt,Tromsø,4,0,1.2,1.0,2.3333333333333335,1.0,4
2019,Molde,Lillestrøm,1,False,Molde,Lillestrøm,2,1,2.6,1.0,2.3333333333333335,1.3333333333333333,3
2019,Kristiansund,Haugesund,0,True,Kristiansund,Haugesund,2,2,2.0,1.2,2.0,1.6666666666666667,4
2019,Haugesund,Kristiansund,0,True,Kristiansund,Haugesund,2,2,2.0,1.2,2.0,1.6666666666666667,4
2019,Vålerenga,Ranheim TF,0,True,Vålerenga,Ranheim TF,1,1,0.2,0.4,0.3333333333333333,1.3333333333333333,2
2019,Ranheim TF,Vålerenga,0,True,Vålerenga,Ranheim TF,1,1,0.2,0.4,0.3333333333333333,1.3333333333333333,2
2019,Sarpsborg 08,Stabæk,0,True,Sarpsborg 08,Stabæk,0,0,1.0,1.4,1.6666666666666667,0.3333333333333333,0
2019,Stabæk,Sarpsborg 08,0,True,Sarpsborg 08,Stabæk,0,0,1.0,1.4,1.6666666666666667,0.3333333333333333,0
2019,Odd,Strømsgodset,1,False,Strømsgodset,Odd,2,3,1.8,1.6,3.0,0.6666666666666666,5
2019,Viking,Mjøndalen,3,False,Viking,Mjøndalen,4,1,2.2,0.8,2.3333333333333335,0.3333333333333333,5
2019,Mjøndalen,Strømsgodset,0,True,Mjøndalen,Strømsgodset,1,1,0.2,1.8,1.0,1.0,2
2019,Strømsgodset,Mjøndalen,0,True,Mjøndalen,Strømsgodset,1,1,0.2,1.8,1.0,1.0,2
2019,Odd,Vålerenga,0,True,Odd,Vålerenga,1,1,2.0,0.4,2.3333333333333335,0.3333333333333333,2
2019,Vålerenga,Odd,0,True,Odd,Vålerenga,1,1,2.0,0.4,2.3333333333333335,0.3333333333333333,2
2019,Brann,Molde,0,True,Brann,Molde,0,0,1.0,2.6,1.3333333333333333,3.0,0
2019,Molde,Brann,0,True,Brann,Molde,0,0,1.0,2.6,1.3333333333333333,3.0,0
2019,Haugesund,Rosenborg,1,False,Haugesund,Rosenborg,2,1,0.8,2.2,0.3333333333333333,1.6666666666666667,3
2019,Sarpsborg 08,Ranheim TF,2,False,Ranheim TF,Sarpsborg 08,0,2,0.6,1.0,0.3333333333333333,0.0,2
2019,Tromsø,Kristiansund,5,False,Tromsø,Kristiansund,5,0,0.8,2.2,0.6666666666666666,1.3333333333333333,5
2019,Lillestrøm,Bodø/Glimt,0,True,Lillestrøm,Bodø/Glimt,0,0,0.8,1.6,1.3333333333333333,0.6666666666666666,0
2019,Bodø/Glimt,Lillestrøm,0,True,Lillestrøm,Bodø/Glimt,0,0,0.8,1.6,1.3333333333333333,0.6666666666666666,0
2019,Stabæk,Viking,0,True,Stabæk,Viking,0,0,1.0,2.2,2.0,1.3333333333333333,0
2019,Viking,Stabæk,0,True,Stabæk,Viking,0,0,1.0,2.2,2.0,1.3333333333333333,0
2019,Kristiansund,Rosenborg,0,True,Kristiansund,Rosenborg,2,2,1.6,1.6,2.3333333333333335,1.3333333333333333,4
2019,Rosenborg,Kristiansund,0,True,Kristiansund,Rosenborg,2,2,1.6,1.6,2.3333333333333335,1.3333333333333333,4
2019,Stabæk,Vålerenga,2,False,Vålerenga,Stabæk,0,2,0.6,1.2,0.6666666666666666,0.6666666666666666,2
2019,Sarpsborg 08,Brann,0,True,Sarpsborg 08,Brann,1,1,1.6,1.2,1.6666666666666667,1.3333333333333333,2
2019,Brann,Sarpsborg 08,0,True,Sarpsborg 08,Brann,1,1,1.6,1.2,1.6666666666666667,1.3333333333333333,2
2019,Viking,Tromsø,1,False,Viking,Tromsø,2,1,2.2,0.8,2.3333333333333335,1.0,3
2019,Molde,Haugesund,2,False,Molde,Haugesund,3,1,2.6,1.4,2.3333333333333335,1.0,4
2019,Ranheim TF,Odd,3,False,Ranheim TF,Odd,4,1,0.4,2.0,0.3333333333333333,1.3333333333333333,5
2019,Strømsgodset,Lillestrøm,0,True,Strømsgodset,Lillestrøm,1,1,1.4,0.4,2.0,1.0,2
2019,Lillestrøm,Strømsgodset,0,True,Strømsgodset,Lillestrøm,1,1,1.4,0.4,2.0,1.0,2
2019,Bodø/Glimt,Mjøndalen,0,True,Bodø/Glimt,Mjøndalen,0,0,1.2,0.4,2.3333333333333335,0.3333333333333333,0
2019,Mjøndalen,Bodø/Glimt,0,True,Bodø/Glimt,Mjøndalen,0,0,1.2,0.4,2.3333333333333335,0.3333333333333333,0
2019,Lillestrøm,Vålerenga,0,True,Lillestrøm,Vålerenga,0,0,0.6,0.4,0.6666666666666666,0.3333333333333333,0
2019,Vålerenga,Lillestrøm,0,True,Lillestrøm,Vålerenga,0,0,0.6,0.4,0.6666666666666666,0.3333333333333333,0
2019,Stabæk,Odd,0,True,Stabæk,Odd,0,0,1.2,1.4,1.3333333333333333,1.0,0
2019,Odd,Stabæk,0,True,Stabæk,Odd,0,0,1.2,1.4,1.3333333333333333,1.0,0
2019,Kristiansund,Viking,2,False,Kristiansund,Viking,4,2,1.2,2.6,1.6666666666666667,1.6666666666666667,6
2019,Tromsø,Ranheim TF,2,False,Tromsø,Ranheim TF,4,2,0.6,1.0,1.3333333333333333,0.6666666666666666,6
2019,Rosenborg,Molde,2,False,Rosenborg,Molde,3,1,1.6,2.6,2.3333333333333335,2.3333333333333335,4
2019,Mjøndalen,Sarpsborg 08,0,True,Mjøndalen,Sarpsborg 08,0,0,0.6,1.6,0.3333333333333333,1.0,0
2019,Sarpsborg 08,Mjøndalen,0,True,Mjøndalen,Sarpsborg 08,0,0,0.6,1.6,0.3333333333333333,1.0,0
2019,Haugesund,Strømsgodset,0,True,Haugesund,Strømsgodset,2,2,1.2,1.6,1.3333333333333333,1.3333333333333333,4
2019,Strømsgodset,Haugesund,0,True,Haugesund,Strømsgodset,2,2,1.2,1.6,1.3333333333333333,1.3333333333333333,4
2019,Brann,Bodø/Glimt,0,True,Brann,Bodø/Glimt,1,1,0.8,1.4,0.6666666666666666,0.6666666666666666,2
2019,Bodø/Glimt,Brann,0,True,Brann,Bodø/Glimt,1,1,0.8,1.4,0.6666666666666666,0.6666666666666666,2
2019,Strømsgodset,Rosenborg,0,True,Strømsgodset,Rosenborg,3,3,1.2,1.6,1.3333333333333333,1.3333333333333333,6
2019,Rosenborg,Strømsgodset,0,True,Strømsgodset,Rosenborg,3,3,1.2,1.6,1.3333333333333333,1.3333333333333333,6
2019,Molde,Kristiansund,2,False,Molde,Kristiansund,2,0,2.0,1.2,3.0,1.3333333333333333,2
2019,Stabæk,Ranheim TF,2,False,Ranheim TF,Stabæk,0,2,1.0,1.2,1.3333333333333333,1.6666666666666667,2
2019,Sarpsborg 08,Tromsø,1,False,Sarpsborg 08,Tromsø,3,2,1.2,1.2,1.6666666666666667,0.0,5
2019,Bodø/Glimt,Haugesund,0,True,Bodø/Glimt,Haugesund,2,2,1.4,1.2,1.6666666666666667,0.6666666666666666,4
2019,Haugesund,Bodø/Glimt,0,True,Bodø/Glimt,Haugesund,2,2,1.4,1.2,1.6666666666666667,0.6666666666666666,4
2019,Viking,Lillestrøm,3,False,Viking,Lillestrøm,3,0,2.0,0.8,3.0,0.3333333333333333,3
2019,Vålerenga,Brann,1,False,Vålerenga,Brann,1,0,0.6,1.0,0.3333333333333333,0.6666666666666666,1
2019,Odd,Mjøndalen,1,False,Odd,Mjøndalen,3,2,1.6,0.6,2.3333333333333335,0.6666666666666666,5
2019,Brann,Odd,1,False,Brann,Odd,1,0,0.8,1.6,1.0,1.3333333333333333,1
2019,Haugesund,Viking,1,False,Haugesund,Viking,1,0,1.2,2.0,1.6666666666666667,1.3333333333333333,1
2019,Rosenborg,Bodø/Glimt,1,False,Rosenborg,Bodø/Glimt,3,2,1.2,1.4,2.3333333333333335,1.0,5
2019,Mjøndalen,Ranheim TF,2,False,Mjøndalen,Ranheim TF,3,1,0.6,0.8,0.6666666666666666,0.3333333333333333,4
2019,Kristiansund,Sarpsborg 08,4,False,Kristiansund,Sarpsborg 08,4,0,1.0,1.8,1.6666666666666667,1.3333333333333333,4
2019,Molde,Strømsgodset,4,False,Molde,Strømsgodset,4,0,2.0,0.8,3.0,1.6666666666666667,4
2019,Stabæk,Lillestrøm,2,False,Lillestrøm,Stabæk,1,3,0.6,1.8,1.0,2.3333333333333335,4
2019,Tromsø,Vålerenga,0,True,Tromsø,Vålerenga,0,0,1.2,1.2,2.0,0.6666666666666666,0
2019,Vålerenga,Tromsø,0,True,Tromsø,Vålerenga,0,0,1.2,1.2,2.0,0.6666666666666666,0
2019,Molde,Vålerenga,2,False,Vålerenga,Molde,2,4,1.2,2.0,1.3333333333333333,1.3333333333333333,6
2019,Ranheim TF,Lillestrøm,1,False,Ranheim TF,Lillestrøm,2,1,0.6,0.6,1.0,0.3333333333333333,3
2019,Sarpsborg 08,Haugesund,0,True,Sarpsborg 08,Haugesund,1,1,1.6,1.6,1.6666666666666667,0.6666666666666666,2
2019,Haugesund,Sarpsborg 08,0,True,Sarpsborg 08,Haugesund,1,1,1.6,1.6,1.6666666666666667,0.6666666666666666,2
2019,Odd,Tromsø,1,False,Odd,Tromsø,2,1,1.0,1.4,2.3333333333333335,0.0,3
2019,Bodø/Glimt,Kristiansund,3,False,Bodø/Glimt,Kristiansund,3,0,0.8,1.4,1.6666666666666667,0.3333333333333333,3
2019,Strømsgodset,Brann,6,False,Strømsgodset,Brann,6,0,0.8,1.2,0.6666666666666666,0.6666666666666666,6
